town,avg_price,median_price,total_transactions
BUKIT TIMAH,731473.19,720000.0,27
BISHAN,672043.48,680000.0,256
CENTRAL AREA,634525.5,567500.0,98
BUKIT MERAH,560382.33,570000.0,385
QUEENSTOWN,555936.43,545000.0,243
MARINE PARADE,528907.46,468000.0,67
KALLANG/WHAMPOA,500414.28,460000.0,335
SERANGOON,482705.2,450000.0,206
PASIR RIS,481000.36,465000.0,318
CLEMENTI,479174.69,421888.0,229
TAMPINES,470229.69,450000.0,642
TOA PAYOH,464826.29,379094.0,314
PUNGGOL,455783.69,445000.0,547
HOUGANG,432782.34,405000.0,516
ANG MO KIO,432782.21,370000.0,555
SENGKANG,430620.06,425000.0,740
BUKIT PANJANG,421976.63,410000.0,321
JURONG EAST,413037.28,385000.0,213
GEYLANG,409093.67,349000.0,254
BEDOK,408118.96,373000.0,623
SEMBAWANG,401036.12,390000.0,252
JURONG WEST,395559.01,388000.0,750
CHOA CHU KANG,389694.5,372000.0,374
WOODLANDS,388781.89,375000.0,708
BUKIT BATOK,369134.88,330000.0,402
YISHUN,358236.8,335000.0,625
